precio_cop,area_m2,habitaciones,banos,estrato,parqueaderos,antiguedad_anos,conjunto_cerrado,tipo_inmueble,dist_aeropuerto_km,dist_centro_km,dist_san_nicolas_km,barrio,fuente
400000000.0,71.0,3,2,5,1,1,si,apartamento,6.213,2.673,2.754,san antonio,ciencuadras
410000000.0,118.0,3,2,5,1,1,no,apartamento,2.991,2.855,2.785,el porvenir,lonja_propiedad_raiz
1090000000.0,186.0,3,3,4,2,1,no,casa,7.251,2.529,2.648,rionegro,ciencuadras
409900000.0,54.4,2,2,4,1,1,no,apartamento,4.028,1.695,1.629,el porvenir,ciencuadras
1900000000.0,320.0,3,4,5,2,1,no,casa,5.523,0.768,0.836,rionegro,metrocuadrado
410000000.0,80.0,3,2,4,1,5,no,apartamento,6.386,0.831,0.952,monseñor alfonso uribe jaramillo,ciencuadras
305000000.0,46.0,2,2,4,,,no,apartamento,5.646,0.391,0.486,liborio mejia,ciencuadras
790000000.0,90.0,3,3,5,1,,si,apartamento,5.017,1.532,1.556,el porvenir,ciencuadras
280000000.0,52.0,2,2,3,,,si,apartamento,4.817,1.237,1.112,liborio mejia,ciencuadras
390000000.0,56.8,3,2,4,2,1,si,apartamento,5.385,1.018,0.916,liborio mejia,ciencuadras
